text,label
I want a refund. The backpack is terrible and the design didn't work as expected.,0
  Bad  experience.  running  shoes  quality  is  uncomfortable.  I  contacted  support  and  it  was  ignored  me.  ,0
Disappointed with the jacket. The comfort was scratchy and delivery was damaged.,0
Disappointed with the jacket. The sound was poor and delivery was late.,0
Very happy with the phone case. sound is excellent. Support team was helpful.,1
  The  jacket  exceeded  expectations.  durability  feels  smooth  and  worth  the  price.  ,1
  I  want  a  refund.  The  backpack  is  terrible  and  the  durability  didn't  work  as  expected.  ,0
  I  love  the  phone  case.  The  design  is  smooth.  Will  definitely  buy  again!  ,1
Bad experience. running shoes quality is broken. I contacted support and it was rude.,0
  Very  happy  with  the  backpack.  sound  is  comfortable.  Support  team  was  kind.  ,1
Bad experience. jacket quality is broken. I contacted support and it was rude.,0
  Great  experience  with  the  smartwatch.  Super  amazing  and  the  delivery  was  early.  ,1
Bad experience. jacket quality is poor. I contacted support and it was rude.,0
Disappointed with the headphones. The design was poor and delivery was late.,0
Disappointed with the jacket. The comfort was poor and delivery was delayed.,0
  Disappointed  with  the  running  shoes.  The  comfort  was  poor  and  delivery  was  incomplete.  ,0
Great experience with the backpack. Super smooth and the delivery was early.,1
Disappointed with the phone case. The design was broken and delivery was damaged.,0
The smartwatch arrived late and the quality feels broken. Not happy.,0
The keyboard arrived delayed and the fit feels uncomfortable. Not happy.,0
  Bad  experience.  keyboard  quality  is  unreliable.  I  contacted  support  and  it  was  ignored  me.  ,0
Bad experience. headphones quality is terrible. I contacted support and it was slow.,0
The running shoes exceeded expectations. battery feels fantastic and worth the price.,1
Bad experience. keyboard quality is unreliable. I contacted support and it was unhelpful.,0
I want a refund. The phone case is uncomfortable and the sound didn't work as expected.,0
  DISAPPOINTED  WITH  THE  WATER  BOTTLE.  THE  SOUND  WAS  BROKEN  AND  DELIVERY  WAS  INCOMPLETE.  ,0
I WANT A REFUND. THE RUNNING SHOES IS UNRELIABLE AND THE MATERIAL DIDN'T WORK AS EXPECTED.,0
  Disappointed  with  the  headphones.  The  comfort  was  scratchy  and  delivery  was  late.  ,0
  I  want  a  refund.  The  running  shoes  is  broken  and  the  battery  didn't  work  as  expected.  ,0
  I  love  the  running  shoes.  The  durability  is  smooth.  Will  definitely  buy  again!  ,1
  The  smartwatch  arrived  damaged  and  the  design  feels  poor.  Not  happy.  ,0
I want a refund. The phone case is disappointing and the design didn't work as expected.,0
  I  love  the  keyboard.  The  battery  is  amazing.  Will  definitely  buy  again!  ,1
Very happy with the phone case. quality is excellent. Support team was kind.,1
  I  love  the  jacket.  The  material  is  amazing.  Will  definitely  buy  again!  ,1
VERY HAPPY WITH THE RUNNING SHOES. MATERIAL IS SMOOTH. SUPPORT TEAM WAS HELPFUL.,1
  Bad  experience.  keyboard  quality  is  scratchy.  I  contacted  support  and  it  was  ignored  me.  ,0
  THE  BACKPACK  ARRIVED  DELAYED  AND  THE  QUALITY  FEELS  POOR.  NOT  HAPPY.  ,0
I want a refund. The water bottle is broken and the comfort didn't work as expected.,0
Disappointed with the running shoes. The sound was cheap and delivery was delayed.,0
  I  want  a  refund.  The  smartwatch  is  scratchy  and  the  fit  didn't  work  as  expected.  ,0
  Great  experience  with  the  water  bottle.  Super  solid  and  the  delivery  was  quick.  ,1
  Bad  experience.  water  bottle  quality  is  uncomfortable.  I  contacted  support  and  it  was  slow.  ,0
I love the smartwatch. The design is premium. Will definitely buy again!,1
The running shoes arrived delayed and the sound feels disappointing. Not happy.,0
  I  love  the  jacket.  The  quality  is  fantastic.  Will  definitely  buy  again!  ,1
  The  water  bottle  arrived  delayed  and  the  sound  feels  cheap.  Not  happy.  ,0
  I  want  a  refund.  The  smartwatch  is  scratchy  and  the  design  didn't  work  as  expected.  ,0
I love the jacket. The comfort is amazing. Will definitely buy again!,1
BAD EXPERIENCE. KEYBOARD QUALITY IS BROKEN. I CONTACTED SUPPORT AND IT WAS SLOW.,0
  Very  happy  with  the  headphones.  durability  is  premium.  Support  team  was  responsive.  ,1
  The  backpack  exceeded  expectations.  design  feels  amazing  and  worth  the  price.  ,1
I love the water bottle. The material is excellent. Will definitely buy again!,1
I love the backpack. The quality is excellent. Will definitely buy again!,1
  Bad  experience.  water  bottle  quality  is  broken.  I  contacted  support  and  it  was  rude.  ,0
  The  phone  case  arrived  damaged  and  the  material  feels  poor.  Not  happy.  ,0
I want a refund. The keyboard is uncomfortable and the sound didn't work as expected.,0
Great experience with the smartwatch. Super premium and the delivery was on time.,1
The keyboard arrived late and the fit feels broken. Not happy.,0
I LOVE THE WATER BOTTLE. THE COMFORT IS COMFORTABLE. WILL DEFINITELY BUY AGAIN!,1
  I  love  the  keyboard.  The  quality  is  premium.  Will  definitely  buy  again!  ,1
The jacket arrived late and the sound feels broken. Not happy.,0
  I  love  the  jacket.  The  design  is  premium.  Will  definitely  buy  again!  ,1
Great experience with the smartwatch. Super amazing and the delivery was quick.,1
Disappointed with the backpack. The comfort was scratchy and delivery was damaged.,0
