customer_id,age,income_band,city_tier,membership_type,num_visits,days_since_last_purchase,product_categories_purchased,num_transactions,avg_transaction_value,discount_used,total_spend,target
C100000,22.0,Low,Tier 2,Gold,13.0,30.0,4.0,1.0,271.95,144.53,129.8,1064.44
C100001,59.0,Mid,Tier 2,Silver,17.0,12.0,8.0,4.0,236.9,203.9,776.65,1679.55
C100002,52.0,High,Tier 1,Silver,21.0,124.0,5.0,7.0,437.27,237.43,2780.1,2406.34
C100003,41.0,High,Tier 2,Platinum,23.0,272.0,4.0,3.0,785.59,266.44,2141.38,1637.64
C100004,40.0,,Tier 2,Gold,23.0,210.0,4.0,3.0,274.74,292.25,568.68,1081.73
C100005,63.0,Low,Tier 2,Silver,,,2.0,5.0,,242.2,359.75,859.47
C100006,22.0,High,Tier 3,Gold,20.0,162.0,6.0,3.0,685.49,285.98,1979.99,2148.32
C100007,54.0,High,Tier 3,Silver,20.0,213.0,6.0,1.0,250.56,287.86,134.12,946.69
C100008,28.0,Mid,Tier 2,Gold,17.0,85.0,8.0,2.0,404.69,198.27,683.35,1515.45
C100009,22.0,Mid,Tier 2,Gold,18.0,50.0,6.0,6.0,567.27,240.76,3288.46,3049.4
C100010,45.0,Mid,Tier 2,,20.0,91.0,5.0,8.0,354.75,237.71,2627.44,2485.27
C100011,69.0,Mid,Tier 2,Silver,24.0,24.0,4.0,3.0,546.99,344.51,1245.26,1585.37
C100012,56.0,Low,Tier 1,Silver,18.0,88.0,8.0,6.0,364.51,227.38,2085.01,2346.03
C100013,58.0,Low,Tier 2,Gold,21.0,195.0,5.0,5.0,233.82,270.67,924.1,1348.25
C100014,,Low,Tier 2,Silver,14.0,293.0,,2.0,322.51,160.09,562.23,1001.53
C100015,59.0,High,Tier 2,Gold,14.0,319.0,2.0,4.0,545.33,181.85,2176.68,1508.06
C100016,45.0,Low,Tier 3,Silver,22.0,246.0,6.0,6.0,,347.37,755.09,950.78
C100017,24.0,Low,Tier 2,Silver,19.0,130.0,7.0,1.0,182.14,233.27,0.0,948.13
C100018,62.0,Mid,Tier 2,Silver,28.0,341.0,7.0,8.0,297.71,326.32,1940.48,1789.8
C100019,41.0,Low,Tier 1,Silver,16.0,336.0,7.0,1.0,359.87,219.37,114.07,706.09
C100020,44.0,Low,Tier 1,Silver,21.0,130.0,3.0,4.0,229.32,300.98,517.75,1093.43
C100021,37.0,Mid,Tier 2,Gold,15.0,3.0,6.0,4.0,282.7,142.78,1121.96,1515.04
C100022,27.0,Mid,Tier 2,Platinum,19.0,158.0,6.0,4.0,592.81,216.14,2205.24,1965.71
C100023,67.0,Mid,Tier 1,Silver,17.0,170.0,5.0,6.0,382.9,202.87,2095.86,1623.23
C100024,59.0,High,Tier 1,Gold,17.0,247.0,9.0,2.0,752.79,194.99,1118.94,1855.41
C100025,52.0,Low,Tier 1,,13.0,53.0,1.0,2.0,240.52,154.46,256.85,562.92
C100026,39.0,High,Tier 3,Gold,25.0,199.0,4.0,3.0,613.32,329.91,1447.44,1591.12
C100027,61.0,High,Tier 3,Silver,20.0,115.0,7.0,3.0,482.42,315.92,,1330.81
C100028,46.0,High,Tier 2,Gold,16.0,181.0,6.0,1.0,,192.67,381.8,971.58
C100029,41.0,Mid,Tier 1,Silver,13.0,8.0,4.0,1.0,294.51,162.23,88.11,1047.82
C100030,41.0,Mid,Tier 1,Silver,19.0,193.0,4.0,9.0,397.73,220.88,3060.31,2300.31
C100031,30.0,Mid,Tier 1,Gold,20.0,12.0,3.0,2.0,575.35,222.75,1033.38,988.89
C100032,22.0,Mid,Tier 2,Silver,20.0,312.0,5.0,2.0,305.72,223.52,239.95,584.05
C100033,47.0,Low,Tier 1,Silver,24.0,260.0,8.0,4.0,134.03,328.24,117.96,782.32
C100034,65.0,High,Tier 2,Silver,20.0,336.0,6.0,5.0,418.34,215.42,1932.64,1668.53
C100035,21.0,Mid,Tier 3,Platinum,18.0,239.0,7.0,3.0,428.14,247.32,1135.58,1693.85
C100036,63.0,Mid,Tier 2,Silver,24.0,358.0,3.0,2.0,301.44,242.75,355.54,546.29
C100037,61.0,Mid,Tier 3,Silver,20.0,76.0,5.0,,,302.49,532.2,1094.37
C100038,32.0,Low,Tier 1,Gold,22.0,2.0,5.0,4.0,439.29,286.09,1578.74,2327.09
C100039,51.0,Mid,Tier 1,Gold,13.0,329.0,8.0,1.0,551.78,112.19,118.99,1010.56
C100040,26.0,Mid,Tier 3,Silver,26.0,241.0,2.0,8.0,242.35,352.7,1684.78,1293.59
C100041,58.0,Mid,Tier 2,Gold,14.0,251.0,6.0,2.0,402.85,148.14,391.39,1127.88
C100042,55.0,Low,Tier 2,Silver,19.0,106.0,7.0,,192.65,219.09,120.39,1267.03
C100043,36.0,Low,Tier 3,Silver,14.0,123.0,4.0,5.0,275.15,218.16,1200.58,1324.9
C100044,21.0,Mid,Tier 2,Silver,11.0,248.0,3.0,3.0,269.83,131.33,553.96,1070.87
C100045,69.0,Mid,Tier 2,Gold,24.0,149.0,4.0,6.0,369.03,287.99,1894.7,1737.89
C100046,41.0,High,Tier 2,Gold,22.0,27.0,5.0,4.0,598.62,228.37,1777.25,2260.15
C100047,65.0,Low,Tier 1,Silver,16.0,107.0,5.0,4.0,234.06,190.94,581.47,1294.78
C100048,53.0,Low,Tier 1,Silver,17.0,140.0,3.0,1.0,436.01,227.84,103.74,300.28
C100049,59.0,Low,Tier 1,Silver,26.0,303.0,6.0,2.0,244.28,314.63,46.73,963.71
C100050,58.0,Mid,Tier 3,Silver,27.0,125.0,9.0,4.0,373.61,328.63,1139.24,1875.81
C100051,28.0,Mid,Tier 2,Silver,,180.0,7.0,2.0,420.6,163.74,875.62,1326.78
